iter	RMSE
226	25743.71902
227	25712.84263
228	25612.01842
229	25584.81271
230	25450.72053
231	25335.17173
232	25303.24448
233	25165.96556
234	25139.98573
235	24996.1579
236	24885.41041
237	24853.85064
238	24821.99253
239	24793.15038
240	24680.62425
241	24653.85821
242	24627.51921
243	24604.88002
244	24579.08297
245	24410.4637
246	24378.2289
247	24356.22104
248	24335.63614
249	24312.0364
250	24218.71495
251	24194.77313
252	24171.29029
253	24040.26964
254	24019.94885
255	24001.15397
256	23850.18287
257	23713.52087
258	23691.52519
259	23583.66447
260	23432.75402
261	23281.84406
262	23116.07674
263	23002.47101
264	22882.15778
265	22753.49542
266	22657.79755
267	22531.79575
268	22427.14737
269	22302.76439
270	22197.42444
271	22067.27618
272	21932.32929
273	21779.82083
274	21647.19428
275	21506.05227
276	21350.14195
277	21248.38415
278	21117.85462
279	20980.75687
280	20846.0305
281	20717.33107
282	20612.50092
283	20473.62831
284	20349.65933
285	20212.08187
286	20117.39752
287	19990.39121
288	19898.8794
289	19792.39618
290	19703.37112
291	19614.0196
292	19496.39543
293	19410.57854
294	19296.66838
295	19186.34503
296	19103.4378
297	18992.93694
298	18909.39632
299	18802.09695
300	18782.83251
301	18681.9182
302	18560.97862
303	18479.18132
304	18393.55836
305	18276.23382
306	18260.30296
307	18174.37162
308	18074.77964
309	18056.35058
310	18040.90881
311	17962.7752
312	17947.65322
313	17860.97696
314	17757.30018
315	17651.2096
316	17636.62457
317	17525.43248
318	17511.21217
319	17429.50944
320	17350.72111
321	17259.53088
322	17158.32103
323	17144.60025
324	17037.80274
325	16950.42078
326	16883.4115
327	16780.00922
328	16693.10452
329	16597.05662
330	16583.71663
331	16483.6245
332	16396.76045
333	16315.00761
334	16218.13532
335	16136.38256
336	16058.03485
337	15969.96434
338	15957.05605
339	15944.36736
340	15931.89402
341	15855.15554
342	15783.96975
343	15714.0948
344	15639.05094
345	15564.71329
346	15473.01652
347	15423.88916
348	15358.7957
349	15296.03203
350	15240.53763
351	15162.56652
352	15075.09036
353	15060.50427
354	14975.03755
355	14912.74469
356	14838.86645
357	14765.69073
358	14698.65233
359	14593.49222
360	14579.55358
361	14498.19614
362	14432.33441
363	14365.76643
364	14315.46922
365	14234.86651
366	14166.94158
367	14088.29831
368	14061.18477
369	13984.52047
370	13909.69314
371	13836.65836
372	13810.33332
373	13739.12401
374	13655.51654
375	13586.97071
376	13521.91475
377	13442.68743
378	13377.63123
379	13316.02143
380	13253.4282
381	13179.19035
382	13118.93918
383	13061.42881
384	12991.06693
385	12933.87684
386	12866.33511
387	12812.71209
388	12758.4224
389	12694.40529
390	12643.60671
391	12592.06286
392	12531.38176
393	12452.32776
394	12402.73098
395	12355.41155
396	12307.71036
397	12251.05809
398	12191.16167
399	12134.03421
400	12078.02091
401	12031.92856
402	11965.70819
403	11908.08382
404	11835.05629
405	11781.46753
406	11715.41845
407	11671.06512
408	11608.17802
409	11579.54067
410	11514.83985
411	11453.7364
412	11399.84422
413	11346.50396
414	11294.85851
415	11267.88487
416	11198.21042
417	11170.57508
418	11121.31067
419	11065.77091
420	11011.51338
421	10946.10616
422	10931.5063
423	10873.78086
424	10859.50735
425	10803.73042
426	10789.74938
427	10734.19018
428	10678.43353
429	10664.76078
430	10651.42609
431	10594.51354
432	10538.73091
433	10527.96825
434	10494.07944
435	10445.88693
436	10392.41696
437	10343.45831
438	10288.00844
439	10263.64875
440	10239.71023
441	10216.18511
442	10193.06576
443	10145.85551
444	10123.25345
445	10101.03962
446	10058.44674
447	10012.77177
448	9991.100531
449	9969.799962
450	9948.863293
451	9902.806381
452	9859.060647
453	9814.832606
454	9766.94256
455	9720.212396
456	9675.287461
457	9635.922713
458	9612.168108
459	9588.912479
460	9544.102893
461	9500.188225
462	9460.262652
463	9418.2264
464	9409.987497
465	9401.905846
466	9364.990762
467	9358.180801
468	9312.685484
469	9305.494879
470	9236.499249
471	9230.010981
472	9223.09847
473	9179.187826
474	9160.265098
475	9141.663014
476	9123.375726
477	9105.397509
478	9074.406516
479	9044.145864
480	9011.423834
481	8943.907641
482	8911.071662
483	8841.248092
484	8809.429258
485	8741.427872
486	8701.133649
487	8651.507012
488	8609.290809
489	8588.945341
490	8550.818744
491	8513.457893
492	8475.732519
493	8435.582548
494	8372.599749
495	8336.841997
496	8294.305263
497	8256.2804
498	8224.598135
499	8193.436894
500	8162.787866
501	8132.642397
502	8127.925174
503	8098.269516
504	8067.499404
505	8038.497443
506	8002.521976
507	7960.463651
508	7954.18148
509	7925.877136
510	7908.41556
511	7880.676459
512	7851.851097
513	7824.720874
514	7783.412685
515	7777.307439
516	7743.43653
517	7703.26988
518	7697.294239
519	7680.644402
520	7654.148221
521	7628.086473
522	7622.215599
523	7589.730378
524	7550.385422
525	7544.638129
526	7528.777572
527	7503.412365
528	7478.462621
529	7455.729385
530	7417.314492
531	7402.221751
532	7377.702724
533	7347.069684
534	7309.511164
535	7303.961011
536	7284.684578
537	7248.242402
538	7242.840186
539	7218.781111
540	7213.458406
541	7189.778304
542	7184.533882
543	7155.056917
544	7119.471033
545	7114.334805
546	7109.286413
547	7086.138283
548	7062.179168
549	7047.252803
550	7022.756023
551	6993.773327
552	6980.234496
553	6953.046204
554	6946.894176
555	6912.532676
556	6906.515489
557	6873.671237
558	6851.684883
559	6845.800976
560	6813.915546
561	6792.488586
562	6766.825349
563	6732.370447
564	6727.971344
565	6723.623446
566	6717.508769
567	6686.969404
568	6657.110394
569	6636.792458
570	6616.80798
571	6610.819076
572	6568.602242
573	6540.780975
574	6513.915965
575	6487.860111
576	6471.461922
577	6445.975315
578	6429.939454
579	6389.604953
580	6373.832455
581	6358.283586
582	6336.337928
583	6321.029362
584	6299.64931
585	6284.575719
586	6246.18204
587	6235.234691
588	6207.911788
589	6197.270443
590	6170.478144
591	6144.28916
592	6126.139975
593	6098.2221
594	6072.791348
595	6055.156017
596	6031.72887
597	6007.019511
598	5989.879904
599	5970.708484
600	5953.828609
601	5927.148084
602	5894.047423
603	5889.478525
604	5862.382167
605	5838.805973
606	5816.509345
607	5792.995986
608	5776.84206
609	5760.960949
610	5734.72961
611	5704.316693
612	5682.488321
613	5660.13526
614	5644.811908
615	5610.568065
616	5585.293218
617	5566.893602
618	5549.002665
619	5527.350227
620	5506.465319
621	5466.568301
622	5437.924859
623	5416.483611
624	5388.708728
625	5356.919142
626	5330.046903
627	5301.207658
628	5281.037936
629	5261.328278
630	5242.327382
631	5225.981891
632	5213.963753
633	5202.993686
634	5182.543018
635	5164.131567
636	5151.015017
637	5131.698166
638	5119.002734
639	5093.505066
640	5070.217782
641	5058.059225
642	5035.192223
643	5010.55277
644	4988.105928
645	4966.047076
646	4942.067435
647	4931.127961
648	4910.409474
649	4900.388069
650	4890.633504
651	4884.664764
652	4865.691223
653	4859.883077
654	4846.72837
655	4841.04478
656	4835.496594
657	4819.271816
658	4806.308327
659	4800.907383
660	4780.476246
661	4764.616267
662	4743.252544
663	4738.022916
664	4722.486967
665	4698.348567
666	4683.182447
667	4656.13652
668	4638.100388
669	4617.363677
670	4602.70723
671	4588.353799
672	4568.601583
673	4542.71325
674	4530.352255
675	4503.845747
676	4489.983758
677	4470.760658
678	4451.842927
679	4434.86262
680	4415.126797
681	4403.190971
682	4380.995403
683	4367.693663
684	4343.392613
685	4331.898113
686	4307.109232
687	4294.285441
688	4270.116575
689	4259.043568
690	4235.46958
691	4224.6505
692	4201.655413
693	4186.277916
694	4163.863264
695	4153.443087
696	4126.171817
697	4114.295576
698	4104.234134
699	4082.208527
700	4067.774433
701	4044.831496
702	4035.140609
703	4014.608315
704	4005.133945
705	3984.433636
706	3973.359686
707	3951.424139
708	3940.599554
709	3931.55046
710	3911.639897
711	3898.451851
712	3877.407068
713	3868.687476
714	3858.428766
715	3853.166335
716	3834.053181
717	3825.624056
718	3802.016054
719	3792.046086
720	3786.917812
721	3776.064264
722	3760.038955
723	3755.065941
724	3736.417182
725	3731.549167
726	3721.789987
727	3717.034407
728	3707.468607
729	3691.858954
730	3682.472174
731	3672.140117
732	3667.515491
733	3652.182431
734	3633.604673
735	3615.660623
736	3603.609989
737	3585.520436
738	3576.39013
739	3548.590263
740	3544.089321
741	3529.431435
742	3514.463515
743	3497.436885
744	3488.446763
745	3461.811301
746	3457.431843
747	3440.884663
748	3436.595505
749	3432.410067
750	3423.589279
751	3409.188599
752	3400.519
753	3382.730229
754	3374.252311
755	3364.933862
756	3351.039311
757	3334.183471
758	3325.889715
759	3305.490804
760	3297.330043
761	3286.370542
762	3261.542619
763	3248.205945
764	3237.562864
765	3212.376819
766	3196.019013
767	3191.958975
768	3187.996665
769	3173.220572
770	3165.217149
771	3161.329562
772	3153.478091
773	3140.35457
774	3128.96748
775	3114.556196
776	3099.100016
777	3091.364309
778	3080.253176
779	3061.761083
780	3054.132556
781	3041.749185
782	3028.207819
783	3014.562348
784	3012.081947
785	3004.614279
786	3000.928619
787	2987.792523
788	2978.000723
789	2964.701045
790	2962.311291
791	2954.993183
792	2942.186031
793	2932.603707
794	2918.26674
795	2905.683067
796	2896.287981
797	2883.584242
798	2880.061084
799	2866.828479
800	2853.995782
801	2838.443987
802	2826.212273
803	2819.049723
804	2812.024652
805	2796.847849
806	2793.432202
807	2786.517422
808	2775.345926
809	2764.140682
810	2754.541889
811	2741.385384
812	2729.699269
813	2720.33927
814	2708.916058
815	2702.081343
816	2695.376027
817	2680.973337
818	2674.373972
819	2663.739359
820	2650.038618
821	2638.191322
822	2625.852411
823	2619.366893
824	2608.874068
825	2597.268625
826	2586.566782
827	2577.805776
828	2566.130099
829	2548.858665
830	2537.797319
831	2524.246879
832	2512.578678
833	2499.38972
834	2487.652272
835	2477.959188
836	2467.017919
837	2450.759757
838	2438.757365
839	2425.240046
840	2415.852683
841	2405.171508
842	2394.612972
843	2383.105972
844	2372.431014
845	2369.668533
846	2359.413469
847	2356.365755
848	2353.397355
849	2343.265452
850	2332.195561
851	2329.25298
852	2318.44959
853	2308.349214
854	2305.533827
855	2300.11066
856	2297.681111
857	2287.202791
858	2284.859068
859	2275.127211
860	2272.32057
861	2267.034799
862	2257.235145
863	2254.557972
864	2252.215217
865	2244.903406
866	2242.663319
867	2240.050456
868	2232.844398
869	2230.549487
870	2221.075544
871	2218.892788
872	2216.273741
873	2209.225679
874	2206.985827
875	2197.775627
876	2188.203974
877	2185.700466
878	2178.758828
879	2176.65538
880	2174.143532
881	2167.325261
882	2164.86167
883	2158.148965
884	2155.984872
885	2153.688141
886	2151.293345
887	2142.022956
888	2132.654761
889	2126.092423
890	2124.06501
891	2121.720839
892	2110.959786
893	2102.015784
894	2093.296501
895	2091.330184
896	2089.07571
897	2080.58278
898	2078.662879
899	2076.785042
900	2069.786133
901	2067.591791
902	2065.453457
903	2056.616093
904	2054.340229
905	2053.244196
906	2044.512269
907	2042.295714
908	2034.419028
909	2026.691428
910	2013.696754
911	2006.121046
912	1991.585563
913	1987.406548
914	1976.736434
915	1970.62412
916	1968.153223
917	1957.810715
918	1951.865898
919	1950.170923
920	1944.329101
921	1942.291669
922	1940.219622
923	1934.468093
924	1932.606703
925	1926.951809
926	1924.957969
927	1923.194187
928	1913.644577
929	1906.74044
930	1896.542925
931	1885.202897
932	1873.397146
933	1867.942947
934	1862.587794
935	1852.84907
936	1847.59177
937	1838.51209
938	1832.085322
939	1822.667504
940	1817.616465
941	1808.678566
942	1799.886933
943	1793.743783
944	1784.799879
945	1779.98248
946	1771.493657
947	1762.97489
948	1754.549458
949	1749.894472
950	1745.321973
951	1737.261026
952	1727.703334
953	1722.057751
954	1714.102583
955	1709.727633
956	1701.998058
957	1694.150215
958	1686.50345
959	1679.232257
960	1669.026275
961	1664.776803
962	1661.048883
963	1654.26538
964	1650.630553
965	1647.098076
966	1639.658953
967	1636.407488
968	1632.95938
969	1626.023703
970	1622.640174
971	1620.785885
972	1616.715639
973	1614.887977
974	1613.09348
975	1608.521571
976	1606.587363
977	1602.612799
978	1600.716415
979	1592.228964
980	1587.099267
981	1583.98712
982	1576.470063
983	1572.589109
984	1568.775082
985	1565.757596
986	1555.289578
987	1548.585827
988	1541.330083
989	1534.260629
990	1531.291053
991	1524.817876
992	1517.213289
993	1509.598435
994	1502.834693
995	1499.926288
996	1494.449005
997	1487.211489
998	1479.863704
999	1476.307832
